time,a (pc),e,f_orb,delta_f_orb
0.0,0.01,0.9997,7.014308511315093e-10,6.963144488619982e-15
10000.0,0.009346612948340107,0.9996789581029808,7.762533292045555e-10,8.007787103997802e-15
20000.0,0.0087148994830339,0.9996556778113358,8.621667898303429e-10,9.210034312878088e-15
30000.0,0.008105313000763373,0.9996297835738719,9.612363325401752e-10,1.0647529324093059e-14
40000.0,0.007518023358043656,0.9996007653362883,1.076042333312721e-09,1.236354652224613e-14
50000.0,0.006953509981872129,0.9995681648341541,1.2097029506544076e-09,1.4429347081701547e-14
60000.0,0.006412074888859717,0.9995313719493505,1.3661141339686541e-09,1.6935676399505236e-14
70000.0,0.005893805389889775,0.9994897042609919,1.5502122920733675e-09,1.9989866263633538e-14
80000.0,0.005398749995624404,0.9994424078423514,1.76825558531849e-09,2.3751479520392018e-14
90000.0,0.004926906675183993,0.9993884536218814,2.0282587564198085e-09,2.8422111615544e-14
100000.0,0.004478221040649633,0.999326513514085,2.340596624683804e-09,3.4268819433194175e-14
110000.0,0.004052710061807913,0.9992546539830505,2.7187330183792943e-09,4.165211431504665e-14
120000.0,0.003650051600591113,0.9991715917845753,3.1807999614434796e-09,5.116508253973559e-14
130000.0,0.003270162536598618,0.9990742837677086,3.7508600064371435e-09,6.337491173480176e-14
140000.0,0.002913546916222185,0.998959336932635,4.460174391709756e-09,7.919357301965715e-14
150000.0,0.0025786774356775636,0.9988236490719892,5.356601437539993e-09,1.012563105063148e-13
160000.0,0.002264080604083579,0.9986597301119386,6.510990134158974e-09,1.3119953630534624e-13
170000.0,0.0019705615424698195,0.9984585251117429,8.018624181464323e-09,1.7266568430355828e-13
180000.0,0.001698519421324743,0.998208945508585,1.0020262249270345e-08,2.3115156561804517e-13
190000.0,0.0014481022906592564,0.9978949709287519,1.2728757211289907e-08,3.1605929360479705e-13
200000.0,0.0012190740522359026,0.9974943395460933,1.6479336896680595e-08,4.4278480034336296e-13
208027.28929103137,0.00105065253797636,0.997086974474579,2.0596631201264075e-08,5.918132420499279e-13
209027.28929103137,0.0010306335590846909,0.9970302254402132,2.1199637951001432e-08,6.143938719389495e-13
210027.28929103137,0.0010108097465845896,0.9969712217996024,2.1826330758823637e-08,6.388332556568175e-13
211027.28929103137,0.00099118983059687,0.9969104309596947,2.247758285352368e-08,6.638929442270039e-13
212027.28929103137,0.000971776414319677,0.9968479922946092,2.3154496002009082e-08,6.901678409201075e-13
213027.28929103137,0.000952569497753011,0.996783905804346,2.3858319893714647e-08,7.177277172925228e-13
214027.28929103137,0.0009335690808968715,0.9967181714889048,2.459037625825594e-08,7.466469410238388e-13
215027.28929103137,0.0009147795487544217,0.996650316302242,2.535188134077347e-08,7.764998510555763e-13
216027.28929103137,0.0008962059604958214,0.9965797944704228,2.6144065421298064e-08,8.081560749024616e-13
217027.28929103137,0.0008778426889872812,0.9965072130382494,2.6968687991259753e-08,8.413933300061773e-13
218027.28929103137,0.0008596897342288009,0.9964325720057219,2.7827375761899173e-08,8.763040514311308e-13
219027.28929103137,0.0008417470962203806,0.9963558713728402,2.8721850894287065e-08,9.129867807636357e-13
220027.28929103137,0.0008240147749620203,0.9962771111396044,2.9653937323612834e-08,9.515466074888683e-13
221027.28929103137,0.0008065046424033383,0.9961947960164866,3.0624891319898026e-08,9.912272784296973e-13
222027.28929103137,0.0007892095501243223,0.9961098263575088,3.163707803078973e-08,1.0335422694225333e-12
223027.28929103137,0.0007721287619565561,0.9960222948841662,3.269266077142684e-08,1.0780424849817883e-12
224027.28929103137,0.0007552622779000393,0.9959322015964589,3.37938889379248e-08,1.124857767072497e-12
225027.28929103137,0.0007386100979547721,0.9958395464943871,3.494314596371393e-08,1.174126450574506e-12
226027.28929103137,0.0007221456365502259,0.9957441577166787,3.614495400573356e-08,1.2315372322865918e-12
227027.28929103137,0.0007058212868510586,0.9956456312308646,3.740612626113325e-08,1.2904468823548666e-12
228027.28929103137,0.0006896757675232169,0.9955437020110116,3.872731725615343e-08,1.352197820052431e-12
229027.28929103137,0.0006737135201856574,0.9954381532105027,4.011178319117937e-08,1.417443715157181e-12
230027.28929103137,0.0006579386614007755,0.9953286116203005,4.1562987179488365e-08,1.485929307262735e-12
231027.28929103137,0.0006423506534691288,0.9952151195682628,4.308505068622614e-08,1.5590023361539205e-12
232027.28929103137,0.0006269500716150489,0.9950974958705113,4.46822906369292e-08,1.6362030408702371e-12
233027.28929103137,0.0006117393419327567,0.9949753032935477,4.635912669972875e-08,1.7183884117738645e-12
234027.28929103137,0.0005967171212939644,0.9948487838975006,4.812071981129263e-08,1.8057863032157733e-12
235027.28929103137,0.0005818855204098934,0.9947170708220554,4.997220789100143e-08,1.8984167773367554e-12
236027.28929103137,0.0005672437868452551,0.9945804730892538,5.1919468999906427e-08,1.9972444855695776e-12
237027.28929103137,0.0005527956602945116,0.9944379796112909,5.39681991128399e-08,2.1013542020318506e-12
238027.28929103137,0.0005385429576690813,0.9942890950063125,5.612473932051387e-08,2.2130316626878214e-12
239027.28929103137,0.0005244829748127342,0.9941345565639375,5.839662806737355e-08,2.332153892739874e-12
240027.28929103137,0.0005106157117254701,0.993974364284166,6.079160401873818e-08,2.4593181515568503e-12
241027.28929103137,0.0004969419190742003,0.9938081580400399,6.331788713715879e-08,2.5939495560245644e-12
242027.28929103137,0.0004834678391535237,0.9936329431364016,6.598321601563507e-08,2.738461239780058e-12
243027.28929103137,0.0004701892203692137,0.9934507592444713,6.879800761767817e-08,2.8930179439156033e-12
244027.28929103137,0.00045710606272127044,0.9932616063642494,7.17727177165113e-08,3.058454753621392e-12
245027.28929103137,0.0004442183662096938,0.9930654844957357,7.49186767179139e-08,3.2356873152324098e-12
246027.28929103137,0.00043152886713188917,0.9928590224154666,7.82474302891108e-08,3.424477396219144e-12
247027.28929103137,0.00041903721217646496,0.9926426554166415,8.17722553162638e-08,3.6277708063626576e-12
248027.28929103137,0.0004067425164774677,0.99241747368809,8.550775549753803e-08,3.846051326333783e-12
249027.28929103137,0.00039464478003489734,0.9921834772298119,8.946956368880739e-08,4.080632705107214e-12
250027.28929103137,0.00038274266210056463,0.9919389467766582,9.367518377793993e-08,4.33471926939444e-12
251027.28929103137,0.00037103318370629437,0.991680062344977,9.814444744188746e-08,4.60748248546101e-12
252027.28929103137,0.0003595187111813808,0.9914098583207324,1.0289697710552953e-07,4.9015874130382365e-12
253027.28929103137,0.00034819924452582384,0.9911283347039244,1.0795509075285134e-07,5.2190222015071685e-12
254027.28929103137,0.00033707463719192014,0.9908346143053307,1.1334327311246772e-07,5.562619356320532e-12
255027.28929103137,0.00032614366445345833,0.9905213662926745,1.1908894389270731e-07,5.933988221337506e-12
256027.28929103137,0.00031540713827154447,0.990193450813986,1.2522112077529412e-07,6.3361411675248726e-12
257027.28929103137,0.00030486505864617855,0.9898508678692651,1.3177207541780962e-07,6.772110276306096e-12
258027.28929103137,0.00029451742557736057,0.9894936174585119,1.3877727969574903e-07,7.245271038204905e-12
259027.28929103137,0.00028436190917988455,0.9891106230976731,1.4627756811899818e-07,7.761813667382153e-12
260027.28929103137,0.0002743997443879207,0.9887077557749862,1.543154145600819e-07,8.322388743586605e-12
261027.28929103137,0.00026463105585670433,0.9882856081126647,1.6293847572190157e-07,8.933130058155733e-12
262027.28929103137,0.0002550558435862354,0.9878441801107087,1.721995239269697e-07,9.599356017304115e-12
263027.28929103137,0.00024568012283028345,0.9873687084818956,1.821502756299259e-07,1.0316349118280574e-11
264027.28929103137,0.0002365022928129941,0.9868631220236828,1.928554118634397e-07,1.1106448029395303e-11
265027.28929103137,0.00022752073088030516,0.9863314032293948,2.0438706270381995e-07,1.1970730877371095e-11
266027.28929103137,0.0002187354370322167,0.9857735520990321,2.1682339551033588e-07,1.291732888796929e-11
267027.28929103137,0.00021014641126872866,0.9851895686325942,2.3025119711900184e-07,1.395537129997438e-11
268027.28929103137,0.000201752667995283,0.9845541484427656,2.447687295727977e-07,1.5097885819087134e-11
269027.28929103137,0.0001935545412444744,0.9838758675612279,2.604832582364339e-07,1.6352397806189413e-11
270027.28929103137,0.000185552248483064,0.9831603092809326,2.775144052754449e-07,1.7733558552376684e-11
271027.28929103137,0.00017774578971105177,0.9824074736018797,2.9599602585135603e-07,1.9256088542071783e-11
272027.28929103137,0.0001701351649284377,0.9816173605240692,3.1607761084503074e-07,2.0936578749214196e-11
273027.28929103137,0.00016271919121965548,0.9807635039833903,3.379299609663588e-07,2.2799445477826126e-11
274027.28929103137,0.00015549821124117937,0.9798535704342207,3.617401941259939e-07,2.485810470519985e-11
275027.28929103137,0.00014847241965481003,0.9788919151592529,3.877181967287311e-07,2.71394551195695e-11
276027.28929103137,0.00014163342385687975,0.9778764313878898,4.1613690488722446e-07,2.9917601494187105e-11
277027.28929103137,0.0001349108822010397,0.9767823508240623,4.476250579943848e-07,3.3084153016341125e-11
278027.28929103137,0.00012833997580055857,0.9756022019826627,4.824384728063295e-07,3.661666622428744e-11
279027.28929103137,0.00012192402706267172,0.9743280440327197,5.210158263440453e-07,4.062890029903174e-11
280027.28929103137,0.00011567419625748412,0.9729346117280591,5.638065640150468e-07,4.508903378843873e-11
281027.28929103137,0.0001095887962474249,0.9714255577217973,6.114143518270737e-07,5.024839848257709e-11
