1-e,a_decay_dominate
1e-06,0.5591643508872388
1.1497569953977357e-06,0.506116060963861
1.3219411484660288e-06,0.45810058753834293
1.519911082952933e-06,0.41464045582973247
1.747528400007683e-06,0.3753034914994749
2.0092330025650458e-06,0.3396985209797265
2.310129700083158e-06,0.30747148261158547
2.656087782946684e-06,0.27830190473618577
3.0538555088334123e-06,0.25189972146598877
3.5111917342151275e-06,0.22800238270828876
4.037017258596558e-06,0.20637224956475486
4.641588833612782e-06,0.1867942275268999
5.336699231206313e-06,0.16907362906106854
6.1359072734131755e-06,0.15303423659149748
7.0548023107186455e-06,0.13851655082430178
8.111308307896873e-06,0.12537620509569872
9.3260334688322e-06,0.1134825271082587
1.072267222010323e-05,0.10271724416942832
1.2328467394420658e-05,0.09297330310876752
1.4174741629268048e-05,0.08415380731430896
1.6297508346206434e-05,0.07617105297188895
1.873817422860383e-05,0.06894565687125002
2.1544346900318867e-05,0.06240576720847015
2.477076355991714e-05,0.05648634878871964
2.8480358684358048e-05,0.05112853658215573
3.274549162877732e-05,0.046279046921361366
3.7649358067924715e-05,0.04188966141908516
4.328761281083062e-05,0.03791672393268334
4.977023564332114e-05,0.03432072661065909
5.72236765935022e-05,0.031065908658202756
6.579332246575683e-05,0.028119901926435778
7.56463327554629e-05,0.02545340908721624
8.697490026177834e-05,0.023039912304872037
0.0001,0.0208554095414412
0.00011497569953977356,0.01887817587831493
0.00013219411484660288,0.017088547481812405
0.0001519911082952933,0.015468726064248242
0.00017475284000076848,0.014002601895256695
0.00020092330025650479,0.012675593600733325
0.00023101297000831605,0.01147450315759426
0.00026560877829466864,0.010387384989629038
0.0003053855508833416,0.009403425776971328
0.0003511191734215131,0.008512838864310184
0.0004037017258596554,0.007706766703940141
0.0004641588833612782,0.006977190792864889
0.0005336699231206312,0.006316853514322756
0.0006135907273413176,0.005719186903440757
0.0007054802310718645,0.005178244877749319
0.0008111308307896872,0.004688647167835733
0.0009326033468832199,0.004245519855830389
0.0010722672220103231,0.0038444572475286867
0.0012328467394420659,0.0034814669962585486
0.0014174741629268048,0.003152937418569052
0.001629750834620645,0.0028555991273011396
0.001873817422860385,0.0025864928605781067
0.0021544346900318843,0.002342940148716347
0.0024770763559917113,0.0021225165097094024
0.002848035868435802,0.0019230274467800959
0.0032745491628777285,0.0017424867636952736
0.0037649358067924675,0.001579096545738247
0.004328761281083062,0.0014312293878352947
0.004977023564332114,0.001297412416782902
0.00572236765935022,0.001176312137410367
0.006579332246575682,0.0010667218678252215
0.007564633275546291,0.0009675491446526958
0.008697490026177835,0.0008778051385506027
0.01,0.0007965947702416145
0.011497569953977356,0.0007231080565472563
0.013219411484660288,0.000656610731512505
0.01519911082952933,0.0005964395877180609
0.017475284000076828,0.0005419932138282603
0.02009233002565046,0.0004927279575589384
0.02310129700083158,0.0004481490249825468
0.026560877829466895,0.0004078119352209065
0.030538555088334186,0.00037131196472834846
0.03511191734215135,0.0003382816324744044
0.04037017258596558,0.00030838958221908295
0.04641588833612782,0.00028133391167390926
0.05336699231206313,0.0002568406432861652
0.061359072734131756,0.00023466049372958392
0.07054802310718646,0.00021456614951461252
0.08111308307896872,0.00019634968922751058
0.093260334688322,0.00017982012954392983
0.10722672220103231,0.00016480107034412244
0.12328467394420659,0.00015112835124315478
0.14174741629268048,0.00013864791412795916
0.16297508346206435,0.0001272136484721887
0.1873817422860383,0.0001166855468255547
0.21544346900318867,0.00010692829945048203
0.2477076355991714,9.781066594913527e-05
0.2848035868435805,8.920607297236524e-05
0.3274549162877732,8.099492890704956e-05
0.37649358067924715,7.306895264380134e-05
0.43287612810830617,6.533709121580352e-05
0.49770235643321137,5.7730779261407116e-05
0.572236765935022,5.0202103486007515e-05
0.6579332246575682,4.269806925597597e-05
0.7564633275546291,3.5059446785774506e-05
0.8697490026177834,2.6583103376034515e-05
