hc,f
1.6472346296641233e-19,1e-05
2.2176532867961987e-19,2e-05
2.1358971103936322e-19,3.0000000000000004e-05
2.291693663236395e-19,4e-05
3.1288141066890255e-19,5e-05
3.3515511045330597e-19,6e-05
2.489734357258832e-19,7.000000000000001e-05
2.8994595113979843e-19,8e-05
2.7039529892111816e-19,9e-05
3.2573643365396095e-19,0.0001
4.220402704074894e-19,0.00011
4.1463672315209194e-19,0.00012
2.934595023889852e-19,0.00013000000000000002
2.9237153172835835e-19,0.00014000000000000001
3.255222957491349e-19,0.00015000000000000001
4.486931417800759e-19,0.00016
3.793882012436106e-19,0.00017
3.7615451694137038e-19,0.00018
2.6917860132534127e-19,0.00019
3.469568863839656e-19,0.0002
2.96195058150333e-19,0.00021
2.948777856194124e-19,0.00022
3.998652691387884e-19,0.00023
2.85374226470809e-19,0.00024
2.4281167111498825e-19,0.00025000000000000006
2.2827005553555286e-19,0.00026000000000000003
3.0734069584591863e-19,0.00027000000000000006
1.904864423848905e-19,0.00028000000000000003
2.9686334312479053e-19,0.00029000000000000006
2.453689925030894e-19,0.00030000000000000003
1.7786928870959995e-19,0.00031000000000000005
1.910663620068685e-19,0.00032
1.64500856746999e-19,0.00033000000000000005
1.815068954819452e-19,0.0003400000000000001
2.313644662666473e-19,0.00035000000000000005
1.8032714510100085e-19,0.0003600000000000001
2.415741645742881e-19,0.00037000000000000005
1.9217625605363425e-19,0.0003800000000000001
2.337946424808158e-19,0.00039000000000000005
2.2363675641845055e-19,0.0004000000000000001
1.9431822628540798e-19,0.00041000000000000005
2.441318038530303e-19,0.00042000000000000007
1.6714357360715863e-19,0.00043000000000000004
2.392316323892665e-19,0.00044000000000000007
2.0666046911434518e-19,0.00045000000000000004
1.2697183223885024e-19,0.00046000000000000007
2.2948088283214123e-19,0.00047000000000000004
2.004639828331787e-19,0.00048000000000000007
1.4169141181378896e-19,0.0004900000000000001
1.7334902523532186e-19,0.0005000000000000001
1.480136676855958e-19,0.00051
1.4493044911788833e-19,0.0005200000000000001
1.0830860355731168e-19,0.0005300000000000001
1.6368193275139812e-19,0.0005400000000000001
2.1730503740080716e-19,0.00055
1.4206816139058733e-19,0.0005600000000000001
1.9569037446765508e-19,0.0005700000000000001
1.1825284162154791e-19,0.0005800000000000001
2.0735975619346465e-19,0.00059
1.624615484269617e-19,0.0006000000000000001
1.6587325361994314e-19,0.0006100000000000001
1.4523622862675625e-19,0.0006200000000000001
1.1428164815837045e-19,0.00063
1.8710307206566462e-19,0.00064
1.9127244513228351e-19,0.0006500000000000001
7.832141259982291e-20,0.0006600000000000001
7.435112595991795e-20,0.0006700000000000001
1.1588379551481206e-19,0.00068
9.942914469993528e-20,0.0006900000000000001
8.094830715529268e-20,0.0007000000000000001
4.794769477308788e-20,0.0007100000000000001
1.2338947242465126e-19,0.00072
1.1533518843031765e-19,0.0007300000000000001
1.0270149148250059e-19,0.0007400000000000001
5.581265476970036e-20,0.0007500000000000001
6.676751824687133e-20,0.00076
1.4660994231582142e-19,0.0007700000000000001
1.5232095022112426e-19,0.0007800000000000001
2.0978893626227815e-19,0.0007900000000000001
2.1225590891310202e-19,0.0008
4.0078642008001607e-20,0.0008100000000000001
6.684860027465193e-20,0.0008200000000000001
2.5318525107296778e-20,0.0008300000000000001
1.1358950989058332e-19,0.0008400000000000001
1.167286929234539e-19,0.0008500000000000001
1.1109222824079152e-19,0.0008600000000000001
1.6688563794529048e-19,0.0008700000000000001
1.5996681966395696e-19,0.0008800000000000001
1.684047943130484e-19,0.0008900000000000001
5.504972919770136e-20,0.0009000000000000001
5.291774345617283e-20,0.0009100000000000001
5.033812946145829e-20,0.0009200000000000001
4.6580612151717616e-20,0.00093
3.169869918756016e-20,0.0009400000000000001
3.611967319287053e-20,0.0009500000000000001
5.931946848104764e-20,0.0009600000000000001
5.644742897470695e-20,0.0009700000000000002
5.870281846710803e-20,0.00098
6.28064966569956e-21,0.0009900000000000002
1.7998909328552363e-20,0.001
3.134536938385668e-20,0.00101
3.0754731045395194e-20,0.00102
2.959524661003134e-20,0.00103
3.0953079939902936e-20,0.0010400000000000001
1.2123637420899201e-20,0.0010500000000000002
1.114996812544884e-20,0.0010600000000000002
2.862583841841687e-20,0.0010700000000000002
3.11942040307842e-20,0.00108
2.914594240407667e-20,0.00109
3.384236946094864e-20,0.0011
2.89820362638179e-20,0.00111
1.0229362472645932e-20,0.0011200000000000001
1.2816662201290218e-20,0.0011300000000000001
9.47372648583588e-21,0.0011400000000000002
4.086115786922464e-20,0.0011500000000000002
4.1343290463309794e-20,0.0011600000000000002
3.8703353615407755e-20,0.00117
5.342616002890753e-20,0.00118
5.536612270305649e-20,0.00119
5.45322747274026e-20,0.0012000000000000001
5.459465980203296e-20,0.0012100000000000001
