time,a (pc),e,f_orb,delta_f_orb
0.0,0.01,0.9995,7.014332979733576e-10,3.670156345440096e-14
1000.0,0.009653708200088627,0.9994820342777639,7.395118328632644e-10,3.944702708792069e-14
2000.0,0.009313488134231336,0.9994630687211729,7.804010232860649e-10,4.237799065719867e-14
3000.0,0.008979400799455941,0.9994430755100695,8.243570248894729e-10,4.558591879230645e-14
4000.0,0.008651446251945022,0.999421911807157,8.71672425123725e-10,4.910277175571267e-14
5000.0,0.008329624504141701,0.9993995449676968,9.226739143746423e-10,5.296490261487767e-14
6000.0,0.008013935298040306,0.9993758464207907,9.777270506905244e-10,5.721382294638933e-14
7000.0,0.007704378410405025,0.9993507049222649,1.0372417045960675e-09,6.189680278034199e-14
8000.0,0.007400942681375905,0.9993240802219738,1.1016808934956428e-09,6.707592754727425e-14
9000.0,0.007103593012985048,0.9992957899061409,1.1715727763017196e-09,7.281159880600405e-14
10000.0,0.006812328660579933,0.9992656871634232,1.2475069967881131e-09,7.91746142590135e-14
11000.0,0.006527153179485136,0.9992335886754319,1.3301501608072876e-09,8.624344980797557e-14
12000.0,0.006248083700573192,0.9991993110807019,1.4202543246393748e-09,9.41141987198345e-14
13000.0,0.005975135144507323,0.9991626729539514,1.5186747762521256e-09,1.028949296168583e-13
14000.0,0.0057083205659761585,0.9991234715946664,1.626386824671256e-09,1.1273387381509839e-13
15000.0,0.00544759807756206,0.9990814834729963,1.7445314035596413e-09,1.237815104413948e-13
16000.0,0.005192971008343477,0.9990364448824802,1.874401104853967e-09,1.3621928509765383e-13
17000.0,0.00494443364883886,0.9989880090222552,2.017490733307611e-09,1.5026137748088328e-13
18000.0,0.004701988911390413,0.9989358143281917,2.175524495693136e-09,1.6615485157106764e-13
19000.0,0.004465640477988347,0.9988794762529376,2.3505026489040904e-09,1.842071580868279e-13
20000.0,0.004235401224676529,0.9988185051158949,2.544746594170826e-09,2.0475674194129403e-13
21000.0,0.004011279203211176,0.9987524493809602,2.760972244118226e-09,2.282459119459946e-13
22000.0,0.003793285818506963,0.9986806548491836,3.002361811887417e-09,2.5518247396588806e-13
23000.0,0.0035814337356123967,0.9986025428489227,3.2726608286755696e-09,2.8618108544805987e-13
24000.0,0.0033755791866853114,0.9985173233987511,3.5765469290019146e-09,3.224116922664023e-13
25000.0,0.0031757704790974137,0.9984239781473467,3.9193379939417875e-09,3.6427076138747647e-13
26000.0,0.0029820555671015983,0.9983214961827912,4.307375970522245e-09,4.1312954898027414e-13
27000.0,0.002794446306686213,0.9982085354280749,4.7483500140950985e-09,4.704237603381551e-13
28000.0,0.00261295850246851,0.9980837103306781,5.2515512693308566e-09,5.379238898936745e-13
29000.0,0.0024376315167115555,0.997945343467233,5.828197953299056e-09,6.177169289444493e-13
30000.0,0.0022685029334011653,0.9977914570699669,6.491982803934843e-09,7.127597639652339e-13
31000.0,0.0021055807371899767,0.9976196697348576,7.259864756416202e-09,8.265949454033049e-13
32000.0,0.001948883726551417,0.9974271198117308,8.152813069180156e-09,9.637651641317471e-13
33000.0,0.0017982883737942387,0.9972112509120904,9.198084051415263e-09,1.1333337245512332e-12
34000.0,0.0016535850565989418,0.9969673637167497,1.0431495383065775e-08,1.340923617080784e-12
35000.0,0.0015149204814205884,0.9966893844252903,1.1896018277118108e-08,1.5976908822724156e-12
36000.0,0.0013823297945829809,0.9963708222370137,1.3647995646436405e-08,1.918774848749148e-12
37000.0,0.0012558203526540953,0.9960042245198775,1.5761411316187384e-08,2.3246932738948937e-12
38000.0,0.0011353861173751569,0.9955793837143799,1.8334581824656286e-08,2.8439696701953003e-12
39000.0,0.0010210184832079683,0.9950827968815253,2.1499876857956318e-08,3.517322133954814e-12
40000.0,0.0009126922781563957,0.9944991157340979,2.5438987052921043e-08,4.40339464535958e-12
41000.0,0.000810391866561709,0.9938040080598748,3.0404913216281176e-08,5.5887485222093616e-12
42000.0,0.0007140991181841846,0.9929689699351808,3.675772577045059e-08,7.2043749016133644e-12
43000.0,0.0006238024014588289,0.9919519734952289,4.502107026558e-08,9.452205315117353e-12
44000.0,0.0005394965677824273,0.990695299498236,5.597619185586637e-08,1.2657093556815318e-11
44545.73874771091,0.0004960126478804209,0.9898804682220709,6.349612941265719e-08,1.4988290694070915e-11
44645.73874771091,0.0004882382328400724,0.9897192146582057,6.501876275277415e-08,1.547244272258378e-11
44745.73874771091,0.0004805237194761761,0.9895541211564522,6.659078483473255e-08,1.597642390385611e-11
44845.73874771091,0.000472869109289576,0.9893850968652391,6.821422703683834e-08,1.6501222786575184e-11
44945.73874771091,0.00046527440378111597,0.9892120509329948,6.989122244722438e-08,1.704788624196128e-11
45045.73874771091,0.00045773960445164035,0.9890348925081478,7.162401189108085e-08,1.7617523452948734e-11
45145.73874771091,0.0004502647128019932,0.9888535307391266,7.341495037198242e-08,1.8211310214426645e-11
45245.73874771091,0.0004428497303330185,0.9886678747743599,7.526651395978006e-08,1.8830493572398613e-11
45345.73874771091,0.0004354941301472045,0.9884766745121837,7.718144763010223e-08,1.9478174913728222e-11
45445.73874771091,0.00042819822436095177,0.9882805205586959,7.916242425830584e-08,2.0152937608633716e-11
45545.73874771091,0.0004209620163482387,0.9880793261717844,8.12123377537401e-08,2.0857469489353665e-11
45645.73874771091,0.0004137854861420795,0.9878729534017295,8.333424373556152e-08,2.1593377211966122e-11
45745.73874771091,0.00040666861377548823,0.9876612642988118,8.553136353222605e-08,2.23623705712645e-11
45845.73874771091,0.00039961137928147886,0.987444120913312,8.780709487191816e-08,2.3166270214249874e-11
45945.73874771091,0.00039261376269306565,0.9872213852955105,9.016502337655168e-08,2.400701601482513e-11
46045.73874771091,0.00038567574404326253,0.9869929194956881,9.260893492860069e-08,2.488667617414491e-11
46145.73874771091,0.0003787972420463836,0.9867573002578351,9.514285208898445e-08,2.5807781764417577e-11
46245.73874771091,0.0003719782628642322,0.9865149373199165,9.777099515918015e-08,2.6772178153896338e-11
46345.73874771091,0.0003652187932568404,0.9862658337377931,1.0049783427717366e-07,2.778259698830041e-11
46445.73874771091,0.00035851881039660545,0.986009791600118,1.0332810353353226e-07,2.8841732261887468e-11
46545.73874771091,0.0003518782914559242,0.9857466129955438,1.062668156049351e-07,2.9952466025767244e-11
46645.73874771091,0.00034529721360719394,0.9854761000127229,1.0931928130737951e-07,3.111788371933021e-11
46745.73874771091,0.0003387755540228115,0.9851980547403081,1.124911307523707e-07,3.2341290936603033e-11
46845.73874771091,0.00033231328987517404,0.9849122792669518,1.1578833625712374e-07,3.3626231782908375e-11
46945.73874771091,0.00032591018569071487,0.9846174073692687,1.1921735385412096e-07,3.497840657048061e-11
47045.73874771091,0.00031956624247899594,0.9843133721012318,1.2278492076534014e-07,3.639910236515517e-11
47145.73874771091,0.0003132814806919622,0.9840002133364772,1.2649818503628494e-07,3.789385872051867e-11
47245.73874771091,0.00030705585967596017,0.9836776352243914,1.3036478542247158e-07,3.94674357333799e-11
47345.73874771091,0.00030088933877733636,0.9833453419143616,1.343928545746347e-07,4.1124960130050295e-11
47445.73874771091,0.00029478187734243696,0.9830030375557741,1.3859105731423106e-07,4.2871958392690796e-11
47545.73874771091,0.0002887334804307753,0.9826498923260397,1.4296859843641873e-07,4.4713187423048966e-11
47645.73874771091,0.0002827442112241472,0.9822843974806622,1.4753524946518425e-07,4.6656780144049005e-11
47745.73874771091,0.00027681395767112447,0.981907091160931,1.5230157751169108e-07,4.8709015109485405e-11
47845.73874771091,0.000270942689221557,0.9815175594979867,1.5727881306064345e-07,5.087739132033648e-11
47945.73874771091,0.0002651303753252947,0.9811153886229704,1.6247896676569644e-07,5.317002891232001e-11
48045.73874771091,0.00025937698543218753,0.9807001646670228,1.67914894500952e-07,5.5595729586294196e-11
48145.73874771091,0.0002536824889920853,0.9802714737612848,1.7360036878490123e-07,5.816404382958644e-11
48245.73874771091,0.00024804665557300715,0.9798270669690746,1.795503743267377e-07,6.088850387041998e-11
48345.73874771091,0.00024246951117724562,0.9793670496161337,1.8578073348589e-07,6.377600858772411e-11
48445.73874771091,0.0002369510262539611,0.9788910170080386,1.9230850317433585e-07,6.684063764835996e-11
48545.73874771091,0.00023149115002461305,0.9783983695638592,1.991520539599785e-07,7.009588492785183e-11
48645.73874771091,0.00022608983171066077,0.9778885077026656,2.0633116612650502e-07,7.35564843851168e-11
48745.73874771091,0.00022074710962725707,0.9773591161583812,2.138670307317208e-07,7.723632097584666e-11
48845.73874771091,0.0002154629376412137,0.976809505894119,2.2178262193150664e-07,8.115603331483413e-11
48945.73874771091,0.00021023725011105752,0.9762393635457518,2.301027862820364e-07,8.533372283031653e-11
49045.73874771091,0.00020507000772718934,0.97564786867393,2.3885435102413727e-07,8.97905211139147e-11
49145.73874771091,0.00019996117118000986,0.9750342008393037,2.4806635819686194e-07,9.454965172730009e-11
49245.73874771091,0.0001949106346851906,0.9743961984457155,2.577704175649057e-07,9.963955023214756e-11
49345.73874771091,0.00018991830910347434,0.9737320357186182,2.680008220136227e-07,1.0508495444919249e-10
49445.73874771091,0.00018498417503166878,0.9730412938391508,2.787946996960218e-07,1.1091836932453697e-10
49545.73874771091,0.0001801081764040914,0.9723228143066373,2.901925341503352e-07,1.1717437702314902e-10
49645.73874771091,0.00017529026794654444,0.9715744681556777,3.0223842069718834e-07,1.2389042453212535e-10
49745.73874771091,0.00017053041587676782,0.970793092965278,3.1498045194059793e-07,1.3111004251088126e-10
49845.73874771091,0.00016582855565977153,0.9699782918689998,3.284712788868355e-07,1.388801490090437e-10
49945.73874771091,0.00016118463565550702,0.9691285083744362,3.4276850930008803e-07,1.4725340645643516e-10
50045.73874771091,0.0001565985882104436,0.9682417460215107,3.579353690640487e-07,1.5629206179700124e-10
50145.73874771091,0.00015207025182802057,0.9673134300290005,3.7404166442666053e-07,1.6605893599028125e-10
50245.73874771091,0.00014759960066861117,0.9663427127666592,3.911637534740758e-07,1.7662904709073687e-10
50345.73874771091,0.00014318656143660552,0.9653274427592509,4.0938600195704144e-07,1.8808571006067084e-10
50445.73874771091,0.00013883105994609742,0.9642627936281692,4.2880162197809635e-07,2.0052288139167684e-10
50545.73874771091,0.00013453302260366167,0.9631457191087889,4.4951379988472456e-07,2.1404652546534517e-10
50645.73874771091,0.00013029237610453427,0.9619740402221187,4.716370042934706e-07,2.28776775182057e-10
50745.73874771091,0.00012610901765401465,0.9607440197745695,4.952986731136914e-07,2.4485722704559063e-10
50845.73874771091,0.00012198275462785363,0.9594491877634573,5.206414298192263e-07,2.624381610428074e-10
50945.73874771091,0.00011791352313312453,0.9580869904712629,5.478238740989927e-07,2.8169957711289746e-10
51045.73874771091,0.00011390120838351936,0.9566519069457007,5.770240056043837e-07,3.028478310543857e-10
51145.73874771091,0.00010994568660025384,0.9551364955106768,6.084418595127523e-07,3.261168911382668e-10
51245.73874771091,0.00010604685151175463,0.9535370538957969,6.423026444198314e-07,3.517790467854623e-10
51345.73874771091,0.00010220457311731583,0.9518453481930449,6.788610407917132e-07,3.801532968820105e-10
51445.73874771091,9.841871795536473e-05,0.9500525119296442,7.184057892655475e-07,4.1160241173220997e-10
51545.73874771091,9.468917296785963e-05,0.9481534079168384,7.612650533658582e-07,4.465557485896443e-10
51645.73874771091,9.101567709578398e-05,0.946137088585693,8.078152957028032e-07,4.855544788266054e-10
51745.73874771091,8.739797734231315e-05,0.9439928541039534,8.584881519440279e-07,5.2916401192321e-10
51845.73874771091,8.383586127441717e-05,0.9417094542303494,9.137799677521628e-07,5.781197842313588e-10
51945.73874771091,8.032904868269708e-05,0.9392719724884379,9.74265767076468e-07,6.332572619405803e-10
52045.73874771091,7.687730011003634e-05,0.9366676470283765,1.0406128739425736e-06,6.956099367651886e-10
52145.73874771091,7.348030531899542e-05,0.9338757827969713,1.1136018668006302e-06,7.663994618070611e-10
52245.73874771091,7.013779060115584e-05,0.9308822622518222,1.1941482784936427e-06,8.471650715365354e-10
52345.73874771091,6.684920573650412e-05,0.9276608407657216,1.283340798808149e-06,9.39756106013448e-10
52445.73874771091,6.361413915992479e-05,0.9241883630530139,1.382470575931217e-06,1.0464860047761385e-09
52545.73874771091,6.043206652240568e-05,0.9204334898856813,1.4930873303372935e-06,1.170187879452756e-09
52645.73874771091,5.730241776815051e-05,0.9163607744134257,1.6170630690239108e-06,1.3145415181506058e-09
52745.73874771091,5.4224627789524536e-05,0.9119330590741678,1.7566753578402771e-06,1.4839937081351773e-09
52845.73874771091,5.119837404415167e-05,0.9071005991028086,1.914706119164777e-06,1.6843434543315096e-09
52945.73874771091,4.8222646826312076e-05,0.9018065929925909,2.09464202435936e-06,1.923958644726557e-09
53045.73874771091,4.529629636746818e-05,0.8959828891952387,2.3008713598197113e-06,2.2127662011700003e-09
53145.73874771091,4.2418034933624284e-05,0.8895472433758371,2.5389874863884555e-06,2.5655595915338096e-09
53245.73874771091,3.958500592157883e-05,0.8823978485055929,2.8163738757025453e-06,3.0021784995642297e-09
53345.73874771091,3.679577351613377e-05,0.8744062364366676,3.14260265449398e-06,3.5491078321425235e-09
53445.73874771091,3.404842450726454e-05,0.8654116882688333,3.5305376489935795e-06,4.245848959561885e-09
53545.73874771091,3.1340223407860735e-05,0.8552093808423552,3.997912148719032e-06,5.152166355506384e-09
53555.73874771091,3.107141423466659e-05,0.8541128844743884,4.049905105385796e-06,5.257449784356631e-09
53565.73874771091,3.080295674574259e-05,0.8530015424872845,4.1029645965548195e-06,5.365798526244423e-09
53575.73874771091,3.05348473622371e-05,0.8518751052474296,4.157121793868619e-06,5.477328775383398e-09
53585.73874771091,3.026707662276931e-05,0.8507327998169911,4.212410283164587e-06,5.592524618334035e-09
53595.73874771091,2.9999632767356533e-05,0.8495736487766735,4.268865492934222e-06,5.710939754236869e-09
53605.73874771091,2.9732519717710436e-05,0.8483980697358741,4.3265208923589454e-06,5.8329443508428256e-09
53615.73874771091,2.9465733188753498e-05,0.847205750235791,4.3854130088465384e-06,5.95868026354886e-09
53625.73874771091,2.9199268895408177e-05,0.8459963778176222,4.445579819170888e-06,6.088296266302642e-09
53635.73874771091,2.8933122552596945e-05,0.8447696400225658,4.5070608204471785e-06,6.221948454120235e-09
53645.73874771091,2.8667289875242267e-05,0.8435252243918202,4.56989710525317e-06,6.3598006728570605e-09
53655.73874771091,2.8401766578266618e-05,0.842262818466583,4.634131441178604e-06,6.502024978354813e-09
53665.73874771091,2.8136546667574015e-05,0.8409820489571994,4.6998087833074785e-06,6.649020965908531e-09
53675.73874771091,2.7871611606137335e-05,0.8396820961205539,4.766979194240329e-06,6.80109317194867e-09
53685.73874771091,2.7606950112365265e-05,0.8383623984637264,4.835693128688804e-06,6.958272539495119e-09
53695.73874771091,2.734255321939607e-05,0.8370224768843504,4.906002660983901e-06,7.120784069972874e-09
53705.73874771091,2.7078411960368017e-05,0.8356618522800583,4.977962169951134e-06,7.28886501231212e-09
53715.73874771091,2.6814517368419368e-05,0.8342800455484836,5.051628464922042e-06,7.462765659448038e-09
53725.73874771091,2.655086047668838e-05,0.8328765775872595,5.1270609199786456e-06,7.642750205279286e-09
53735.73874771091,2.6287433913672287e-05,0.8314509200463408,5.204321143290492e-06,7.82889939543401e-09
53745.73874771091,2.6024237983925508e-05,0.8300023076208627,5.283471217645705e-06,8.02147691580286e-09
53755.73874771091,2.5761267720859807e-05,0.8285301377226555,5.3645776027931304e-06,8.220896744362996e-09
53765.73874771091,2.549851713301782e-05,0.8270338394005834,5.447710136397691e-06,8.427476464717777e-09
53775.73874771091,2.5235980228942163e-05,0.8255128417035109,5.532941912972804e-06,8.641551883672064e-09
53785.73874771091,2.497365101717546e-05,0.8239665736803022,5.6203494716569424e-06,8.863478280892118e-09
53795.73874771091,2.4711523506260332e-05,0.8223944643798219,5.710012996929256e-06,9.093631758488279e-09
53805.73874771091,2.4449588918071745e-05,0.8207958171553256,5.80201752524085e-06,9.33276268005576e-09
53815.73874771091,2.4187829515304347e-05,0.8191695312467141,5.896455567174872e-06,9.58125506810077e-09
53825.73874771091,2.39262347226832e-05,0.8175148289448861,5.993421757819056e-06,9.839441070929399e-09
53835.73874771091,2.3664794792880275e-05,0.8158309698861661,6.093015238119724e-06,1.010781618473248e-08
53845.73874771091,2.3403499978567556e-05,0.8141172137068792,6.195340243175447e-06,1.038690725394808e-08
53855.73874771091,2.3142340532417033e-05,0.8123728200433498,6.300506426235805e-06,1.0677274844891752e-08
53865.73874771091,2.2881306707100665e-05,0.8105970485319028,6.40862920736465e-06,1.0979515829334932e-08
53875.73874771091,2.2620385900238295e-05,0.8087889198020538,6.519831383320791e-06,1.1294646940957528e-08
53885.73874771091,2.2359559430493758e-05,0.8069469455917848,6.63424514874679e-06,1.1623228654986018e-08
53895.73874771091,2.2098814288768735e-05,0.8050701124827548,6.752007564830779e-06,1.1965914135856324e-08
53905.73874771091,2.1838137823735612e-05,0.8031574370069106,6.87326319891242e-06,1.2323497512743639e-08
53915.73874771091,2.157751738406675e-05,0.8012079356961985,6.998164805310976e-06,1.2696828322727e-08
53925.73874771091,2.1316940318434534e-05,0.7992206250825649,7.126873899900056e-06,1.3086816144163695e-08
53935.73874771091,2.105639397551134e-05,0.7971945216979567,7.2595613830159235e-06,1.3494435683271188e-08
53945.73874771091,2.0795861245359206e-05,0.7951282795173886,7.396410594129324e-06,1.3921390432455922e-08
53955.73874771091,2.0535318403311386e-05,0.7930200146317394,7.537619614179772e-06,1.4368551012407524e-08
53965.73874771091,2.027474799766734e-05,0.7908683532252148,7.683395363645655e-06,1.483708715040829e-08
53975.73874771091,2.001413276038065e-05,0.7886719364160609,7.833957554632622e-06,1.5328340847035044e-08
53985.73874771091,1.9753455423404872e-05,0.7864294053225241,7.989539782071785e-06,1.5843758653458432e-08
53995.73874771091,1.9492696149613906e-05,0.7841391746722222,8.15039222369599e-06,1.6385460180114514e-08
54005.73874771091,1.923182716186002e-05,0.7817989595077857,8.31678659119969e-06,1.6955109587891377e-08
54015.73874771091,1.897082636408182e-05,0.779406975496531,8.489009214564072e-06,1.7554396069653855e-08
54025.73874771091,1.8709672265812422e-05,0.7769614916715446,8.66736544831209e-06,1.818534608373184e-08
54035.73874771091,1.844834337658492e-05,0.7744607770659132,8.852181672561027e-06,1.8850158248284604e-08
54045.73874771091,1.818681604315214e-05,0.7719029112872394,9.043808705370205e-06,1.95519741528499e-08
54055.73874771091,1.792505318670375e-05,0.7692847980752838,9.242632795758419e-06,2.0293773614717863e-08
54065.73874771091,1.7663024943879143e-05,0.7666039731295383,9.449063230938147e-06,2.10779878755809e-08
54075.73874771091,1.7400703417215506e-05,0.7638581443311739,9.663538279150164e-06,2.1907806642802608e-08
54085.73874771091,1.713806070925003e-05,0.7610450195613622,9.88652942286912e-06,2.2786718121979005e-08
54095.73874771091,1.687506753607659e-05,0.7581621825494564,1.011854573879106e-05,2.3719440191114863e-08
54105.73874771091,1.6611675129412398e-05,0.7552054722576319,1.0360154567571462e-05,2.4711524472787358e-08
54115.73874771091,1.634784137452986e-05,0.7521713234538677,1.0611963706844981e-05,2.5766632065169772e-08
54125.73874771091,1.6083529055212198e-05,0.7490566095530158,1.0874626676058307e-05,2.6890032618780393e-08
