t_merge,snr
308026.28928958287,5.4801263243667505e-05
298026.28928958287,7.584878343832826e-05
288026.28928958287,0.00010661888568444327
278026.28928958287,0.00015303023139861838
268026.28928958287,0.00022608382338237058
258026.28928958287,0.0003473000428470392
248026.28928958287,0.0005602363967304491
238026.28928958287,0.0009544768680863683
228026.28928958287,0.001715141273100975
218026.28928958287,0.0032289567929879586
208026.28928958287,0.006318189938875026
198026.28928958287,0.01277260180373213
188026.28928958287,0.02653368934589285
178026.28928958287,0.0565882253026481
168026.28928958287,0.12369312106847875
158026.28928958287,0.27751161892033094
148026.28928958287,0.642635878012492
138026.28928958287,1.5335684531125369
128026.28928958287,3.7536347036447557
118026.28928958287,9.33643802162886
108026.28928958287,23.18195605375676
99999.0,46.940447814247705
98999.0,51.10341794353705
97999.0,55.58431906814867
96999.0,60.40121231038969
95999.0,65.57096015166049
94999.0,71.10918383799665
93999.0,77.03088174406952
92999.0,83.33729093810763
91999.0,90.02001902584621
90999.0,97.10052684938145
89999.0,104.58356586910261
88999.0,112.47184272037472
87999.0,120.7659841079748
86999.0,129.38747536872773
85999.0,138.36078785469428
84999.0,147.67548782958494
83999.0,157.3145699987519
82999.0,167.259261244348
81999.0,177.50543035628394
80999.0,188.05854151082443
79999.0,198.83700774829313
78999.0,209.7910206254878
77999.0,220.85186067631486
76999.0,231.99332566446557
75999.0,243.1697704138412
74999.0,254.30538001759672
73999.0,265.4103566911774
72999.0,276.3649787000125
71999.0,287.2023731064521
70999.0,297.7866545034961
69999.0,308.0536543279315
68999.0,318.1381843215503
67999.0,328.08994566344745
66999.0,337.9187713649241
65999.0,347.2228334882705
64999.0,356.4076174099729
63999.0,365.57887351877076
62999.0,374.8546768962847
61999.0,383.81427526445185
60999.0,392.6589697109562
59999.0,401.7063061030467
58999.0,411.10036643116837
57999.0,420.71975081716795
56999.0,430.1271449275183
55999.0,439.95033759396233
54999.0,450.3436590102556
53999.0,461.3281562958682
52999.0,471.95567784889585
51999.0,483.1480839232781
50999.0,495.08273462784877
49999.0,507.94293571250296
48999.0,520.3164865386709
47999.0,533.2941192875488
46999.0,547.1911046799595
45999.0,562.2467678705066
44999.0,576.5932151770471
43999.0,591.1118909743859
42999.0,606.6792144562052
41999.0,623.606240047385
40999.0,642.2193255174761
39999.0,659.5509895813535
38999.0,677.1963380781685
37999.0,696.3213861001725
36999.0,717.3682353395398
35999.0,740.8011454564661
34999.0,763.8914855398167
33999.0,788.2014792964203
32999.0,814.8730859889673
31999.0,844.4850714790015
30999.0,876.6353902046375
29999.0,910.8652379029064
28999.0,947.4540207559465
27999.0,984.6140854226429
26999.0,1024.3679882579775
25999.0,1067.7752929503258
24999.0,1111.6131924946642
23999.0,1160.6199753936726
22999.0,1213.5836324473792
21999.0,1270.645251493767
20999.0,1332.8819614202316
19999.0,1399.5828529455118
18999.0,1474.458584134165
17999.0,1556.4046918072013
16999.0,1645.7158994887805
15999.0,1746.7591644507902
14999.0,1858.794661098333
13999.0,1983.583803853158
12999.0,2126.3745216362713
11999.0,2289.310361170718
10999.0,2477.7735232052296
9999.0,2697.504208489155
9899.0,2721.6276763345245
9799.0,2746.346128997515
9699.0,2771.703897936984
9599.0,2797.042267400695
9499.0,2822.5472111617833
9399.0,2848.5748692973157
9299.0,2875.176845855092
9199.0,2902.4062487790025
9099.0,2930.317750879361
8999.0,2958.9677143068366
8899.0,2987.9510776837724
8799.0,3016.837725497337
8699.0,3046.335787555774
8599.0,3076.510792358445
8499.0,3107.430307645945
8399.0,3139.16408667723
8299.0,3171.7841930942277
8199.0,3205.2061108900725
8099.0,3238.0251694326876
7999.0,3271.5378318580315
7899.0,3305.8260518720695
7799.0,3340.9745100689083
7699.0,3377.070711801836
7599.0,3414.2052106388755
7499.0,3452.4718358773353
7399.0,3491.2023466550963
7299.0,3530.7605296732527
7199.0,3571.304175379452
7099.0,3612.8530998084766
6999.0,3655.4318604413434
6899.0,3699.069994574622
6799.0,3743.8022854510345
6699.0,3789.6689223826306
6599.0,3836.601497451683
6499.0,3884.620820176307
6399.0,3933.8708977769866
6299.0,3984.4186361474594
6199.0,4036.339874345198
6099.0,4089.719996293546
5999.0,4144.654436601866
5899.0,4201.249518914553
5799.0,4259.32596761772
5699.0,4318.148534373987
5599.0,4378.527350391225
5499.0,4440.557932702115
5399.0,4504.3481066213535
5299.0,4570.01904579741
5199.0,4637.706148823236
5099.0,4707.5596120867895
4999.0,4779.746385452631
4899.0,4853.662275725074
4799.0,4929.946635136051
4699.0,5008.804460292512
4599.0,5090.444135603331
4499.0,5175.099013169104
4399.0,5263.029823553524
4299.0,5354.348773384187
4199.0,5449.09563118668
4099.0,5547.889300925587
3999.0,5651.156669605493
3899.0,5759.38709517707
3799.0,5872.847853307237
3699.0,5989.952722855423
3599.0,6112.430402198636
3499.0,6240.8002708910335
3399.0,6375.665861326998
3299.0,6517.724809858675
3199.0,6666.011118395993
3099.0,6821.8141021360525
2999.0,6986.0067530113
2899.0,7159.501259902146
2799.0,7341.979696087337
2699.0,7534.960431245975
2599.0,7739.881276627818
2499.0,7958.309594487021
2399.0,8190.926411531492
2299.0,8439.93817634808
2199.0,8708.009165804779
2099.0,8995.957917082547
1999.0,9306.610369345059
1899.0,9644.278542443648
1799.0,10012.026113980462
1699.0,10413.988704632555
1599.0,10856.45388663625
1499.0,11345.19650174631
1399.0,11890.863351453188
1299.0,12504.144620586418
1199.0,13201.521796410398
1099.0,14001.03817834804
999.0,14931.87649657794
989.0,15033.43105862659
979.0,15136.711787930424
969.0,15241.768648682364
959.0,15348.653694442359
949.0,15457.42117909513
939.0,15568.127626437954
929.0,15680.831816265174
919.0,15795.594727074256
909.0,15912.479658943927
899.0,16031.387106757917
889.0,16152.497257611278
879.0,16275.900497412846
869.0,16401.671092540713
859.0,16529.886520754048
849.0,16660.62767249983
839.0,16793.979084865325
829.0,16930.0292908283
819.0,17068.870840567586
809.0,17210.6004870662
799.0,17355.31928199656
789.0,17503.1329716655
779.0,17654.15211081433
769.0,17808.433036986553
759.0,17966.093306464947
749.0,18127.30300883519
739.0,18292.197069631704
729.0,18460.917166728766
719.0,18633.612551568433
709.0,18810.440683871464
699.0,18991.56735688769
689.0,19177.166397189892
679.0,19367.42053226312
669.0,19562.417327753905
659.0,19762.351013181527
649.0,19967.50764404932
639.0,20178.11338938237
629.0,20394.407732817217
619.0,20616.644825532494
609.0,20845.093783813107
599.0,21080.0390214348
589.0,21321.78182934977
579.0,21570.642162648783
569.0,21826.924920115627
559.0,22090.994820386128
549.0,22363.26542530439
539.0,22644.15317902701
529.0,22934.102771462876
519.0,23233.588214191393
509.0,23543.114949480572
499.0,23863.23188854199
489.0,24194.63056681273
479.0,24537.900965872344
469.0,24893.734859183107
459.0,25262.8784837674
449.0,25646.136042058268
439.0,26044.37201031047
429.0,26458.51831078908
419.0,26889.782310466468
409.0,27339.369331270394
399.0,27808.443216140724
389.0,28298.367295469394
379.0,28810.627303494977
369.0,29346.866261753974
359.0,29909.386951117933
349.0,30499.961677935105
339.0,31120.838342929117
329.0,31774.4900592111
319.0,32463.649276761378
309.0,33191.76287478303
299.0,33962.75239710493
289.0,34780.3350613961
279.0,35648.979930736095
269.0,36574.236178384104
259.0,37563.09117356867
249.0,38621.78477620696
239.0,39758.109155501166
229.0,40981.4141562259
219.0,42304.54743626042
209.0,43739.46454565159
199.0,45301.57121405613
189.0,47012.40892303473
179.0,48892.77338511334
169.0,50969.360241961505
159.0,53280.17200320193
149.0,55865.16003356111
139.0,58783.51047986056
129.0,62103.22676983366
119.0,65916.05207159174
109.0,70346.61769645239
99.0,75570.32504024218
98.0,76144.3800515823
