1-e,a_losscone,a_decay_dominate
3.162277660168379e-07,1.3534788495081829,1.2725555441502072
3.405342542559942e-07,1.25687089490436,1.2069929781443514
3.6670903311985407e-07,1.1671585758535539,1.1448082211982276
3.948957066463194e-07,1.0838496990990074,1.0858272475915733
4.252489168346397e-07,1.0064872029170853,1.0298849969257484
4.5793519206578027e-07,0.9346466492543377,0.9768249129718684
4.93133860735659e-07,0.8679338957256632,0.9264985054087058
5.310380351137647e-07,0.8059829326354904,0.8787649341960677
5.718556708249504e-07,0.7484538751890321,0.8334906152956518
6.158107077670933e-07,0.6950310988067832,0.7905488470470464
6.631442987240946e-07,0.6454215073751992,0.7498194555766363
7.14116132414824e-07,0.5993529251374643,0.7111884582784026
7.690058582367129e-07,0.5565726038361334,0.6745477452418257
8.2811462052066e-07,0.516845835411871,0.639794776011784
8.917667107146847e-07,0.4799546649781386,0.606832293437291
9.603113465608089e-07,0.445696694522576,0.5755680508490586
1.0341245880263472e-06,0.413883972790157,0.5459145542826199
1.113611400501082e-06,0.3843419640502157,0.5177888175006099
1.1992078765797465e-06,0.35690859044438655,0.4911121296899247
1.2913836286192973e-06,0.3314333428089795,0.46580983525777
1.390644365197383e-06,0.30777645498500034,0.4418111249093488
1.4975346656073704e-06,0.2858081370011314,0.4190488375117926
1.6126409676117813e-06,0.2654078629137091,0.3974592720252618
1.7365947848460027e-06,0.24646370967048706,0.37698200939714144
1.8700761715240842e-06,0.22887174298066218,0.35755974331767415
2.01381745345521e-06,0.2125354471111529,0.3391381199319389
2.16860724584052e-06,0.1973651954188229,0.32166558576070015
2.3352947798933166e-06,0.18327775857585776,0.30509324334507126
2.5147945620200306e-06,0.1701958479364008,0.2893747144348818
2.708091391123833e-06,0.15804769154864517,0.274466010236744
2.9162457615576005e-06,0.1467666403552169,0.2603254082509829
3.1403996813687237e-06,0.13629080253861814,0.2469133355417805
3.3817829377567056e-06,0.12656270397730746,0.2341922580013633
3.641719844118e-06,0.11752897290048675,0.2221265752844999
3.921636505694913e-06,0.10914004708382606,0.21068252118313488
4.223068643690169e-06,0.10134990192806524,0.1998280691415242
4.5476700207733536e-06,0.09411579796151787,0.18953284263238038
4.897221514204216e-06,0.08739804634742399,0.17976803013150827
5.273640886351346e-06,0.08115979113825915,0.17050630449756252
5.678993306210667e-06,0.0753668070724289,0.16172174649355467
6.115502679648502e-06,0.06998731180346324,0.1533897722532798
6.585563850530916e-06,0.06499179152805172,0.1454870644770739
7.091755739679002e-06,0.06035283906896239,0.13799150719061445
7.636855493735064e-06,0.05604500349929194,0.13088212383223918
8.223853721565327e-06,0.05204465052061341,0.12413901856878133
8.855970901791448e-06,0.048329832789199646,0.11774332060378835
9.536675051468303e-06,0.044880169510145514,0.11167713137448314
1.0269700752844653e-05,0.04167673461712847,0.1059234744571052
1.1059069642594141e-05,0.03870195294030178,0.10046624806021517
1.1909112475927795e-05,0.03593950378216476,0.0952901799639758
1.2824492886639466e-05,0.03337423137544905,0.09038078477858397
1.3810232973440244e-05,0.030992061733885634,0.08572432340687888
1.4871740852957217e-05,0.02877992543744263,0.08130776459571577
1.6014840330562692e-05,0.026725685928664592,0.0771187484669579
1.724580285181723e-05,0.02481807292765951,0.07314555192869643
1.857138190982504e-05,0.02304662059878163,0.06937705586620724
1.999885009727064e-05,0.021401610132053786,0.06580271402717289
2.1536039006419397e-05,0.019874016421653103,0.06241252350544732
2.319138219598508e-05,0.018455458551577784,0.05919699674861032
2.4973961460598023e-05,0.017138153814586762,0.056147135006496596
2.689355665672272e-05,0.015914875013908383,0.053254403148271186
2.8960699358388282e-05,0.014778910812009704,0.050510705776262245
3.118673063710567e-05,0.013724028910003952,0.04790836457077004
3.3583863282972634e-05,0.012744441854854053,0.04544009680170592
3.61652488083333e-05,0.011834775287731962,0.04309899494860742
3.894504960159794e-05,0.01099003845804575,0.04087850736874879
4.193851662708423e-05,0.010205596842585438,0.03877241996253877
4.516207309716852e-05,0.009477146718910142,0.03677483878318042
4.8633404575802154e-05,0.008800691553563658,0.034880173542261195
5.2371556007732135e-05,0.00817252007576122,0.033083121965215276
5.6397036205762904e-05,0.0075891859159082165,0.031378654952383955
6.073193036931215e-05,0.007047488697778017,0.029762002505490954
6.540002125157952e-05,0.00654445647999659,0.02822864037811599
7.042691964008914e-05,0.006077329450994817,0.02677427741483177
7.584020486647476e-05,0.005643544787688722,0.025394843542046484
8.166957611638568e-05,0.005240722594928047,0.024086478377867336
8.794701536966163e-05,0.004866652848567626,0.02284552042870113
9.470696286471394e-05,0.004519283270470086,0.02166849684231983
0.00010198650604978275,0.004196708069034203,0.02055211368923381
0.00010982558305771281,0.003897157483303946,0.019493246744254594
0.00011826720182059105,0.0036189880734710123,0.018488932743441492
0.0001273576760263793,0.0033606737043717283,0.017536361091231786
0.00013714687921208765,0.0031207971725684884,0.016632865994884533
0.00014768851838752958,0.002898042431088149,0.01577591900425643
0.00015904042869085747,0.0026911873691158796,0.0149631219357878
0.00017126489069246062,0.0024990971070673576,0.014192200161136074
0.00018442897208806777,0.0023207177702390014,0.01346099624156017
0.0001986048956557016,0.00215507070688525,0.012767463890265193
0.00021387043549522702,0.002001247118988126,0.012109662245798037
