t_merge,snr
436787.8201591024,0.00020450367659925308
426787.8201591024,0.00027639181035870187
416787.8201591024,0.000379379335768619
406787.8201591024,0.0005282886931994618
396787.8201591024,0.0007454395397954071
386787.8201591024,0.0010646983754345673
376787.8201591024,0.0015378954928839505
366787.8201591024,0.002244096853399849
356787.8201591024,0.003305257761773929
346787.8201591024,0.0049091858934647336
336787.8201591024,0.0073525061378208675
326787.8201591024,0.011092834011900768
316787.8201591024,0.016868439819424756
306787.8201591024,0.02584066689908843
296787.8201591024,0.03992953584981387
286787.8201591024,0.06234915204325651
276787.8201591024,0.0983205753906516
266787.8201591024,0.15659994590584844
256787.82015910238,0.2518052575206615
246787.82015910238,0.4087487336167971
236787.82015910238,0.6692913244308969
226787.82015910238,1.104737863801792
216787.82015910238,1.8371575096804167
206787.82015910238,3.07237640137881
196787.82015910238,5.1551730774180555
186787.82015910238,8.648448624237254
176787.82015910238,14.4467794394755
166787.82015910238,23.848624888457106
156787.82015910238,38.479841899309584
146787.82015910238,60.213694748223524
136787.82015910238,89.76327417940088
126787.82015910238,124.67411642792426
116787.82015910238,159.06542572163036
106787.82015910238,188.4344630811886
99999.0,206.74066094770578
98999.0,209.38212822419806
97999.0,212.08562907885428
96999.0,214.86975124459815
95999.0,217.7529235551704
94999.0,220.7534390233342
93999.0,223.75651462135147
92999.0,226.55435175387234
91999.0,229.4245480299122
90999.0,232.38656628610696
89999.0,235.45990096206424
88999.0,238.66417386681397
87999.0,242.0192450352251
86999.0,245.54533440778403
85999.0,249.01471071871367
84999.0,252.3452313673376
83999.0,255.78850738956993
82999.0,259.36918788793173
81999.0,263.1125051915737
80999.0,267.0443794666356
79999.0,271.1915399401489
78999.0,275.4092184638387
77999.0,279.29615852372194
76999.0,283.3171718286033
75999.0,287.505415104335
74999.0,291.89491154520533
73999.0,296.52068284986325
72999.0,301.4189151369992
71999.0,306.6034666905092
70999.0,311.1638380237294
69999.0,315.8878145539875
68999.0,320.82110940249686
67999.0,326.01064699266027
66999.0,331.50476694630134
65999.0,337.35348634497103
64999.0,343.6088201295062
63999.0,349.3152426508484
62999.0,355.0028476707323
61999.0,360.96337372213316
60999.0,367.2633140576269
59999.0,373.97131803179377
58999.0,381.15863399263895
57999.0,388.8996557242028
56999.0,396.0062025548083
55999.0,403.3227941206825
54999.0,411.0555663821121
53999.0,419.3038069941695
52999.0,428.171060035299
51999.0,437.4069661672909
50999.0,445.8715056650687
49999.0,454.7820310516741
48999.0,464.27603500515403
47999.0,474.49678904554486
46999.0,485.59466610685104
45999.0,496.842187531614
44999.0,508.00376609398637
43999.0,519.9183141399933
42999.0,532.7954447618263
41999.0,546.4725331301157
40999.0,559.4811848294564
39999.0,573.3511018281339
38999.0,588.3712871851571
37999.0,604.8489748324621
36999.0,621.1930291372643
35999.0,638.4415530173333
34999.0,657.2462516463233
33999.0,676.7355969916779
32999.0,696.5109605138423
31999.0,718.0478969079011
30999.0,741.5694874400862
29999.0,765.4125897974678
28999.0,791.5275093489391
27999.0,819.0327293560385
26999.0,847.4218768129471
25999.0,878.7254016477713
24999.0,913.7021366008364
23999.0,951.500546761253
22999.0,992.2416753269906
21999.0,1036.1832610289794
20999.0,1083.8289384889863
19999.0,1136.0266660767506
18999.0,1192.740090634867
17999.0,1255.1835571392285
16999.0,1323.1818962259028
15999.0,1398.8503635305678
14999.0,1482.209017924472
13999.0,1576.9571893859145
12999.0,1683.260606275596
11999.0,1805.2196762871108
10999.0,1944.2645348494223
9999.0,2107.4240159100673
9899.0,2125.2630885696863
9799.0,2143.4422021837827
9699.0,2161.9772337786103
9599.0,2180.8849399686746
9499.0,2200.183243710739
9399.0,2219.891227977649
9299.0,2240.0289681163044
9199.0,2260.3101519476922
9099.0,2280.7702109669194
8999.0,2301.601869715032
8899.0,2322.820729809231
8799.0,2344.4438367697167
8699.0,2366.48931403068
8599.0,2388.976569328923
8499.0,2411.926703785377
8399.0,2435.3622739298644
8299.0,2459.30721225729
8199.0,2483.78709470214
8099.0,2508.8293838782856
7999.0,2534.463307656672
7899.0,2560.5631129765593
7799.0,2587.073598265556
7699.0,2614.1739448589274
7599.0,2641.895020619986
7499.0,2670.2705061725765
7399.0,2699.3374723065135
7299.0,2729.1357713469984
7199.0,2759.7085815221244
7099.0,2791.1030882908217
6999.0,2823.3700032805605
6899.0,2856.0773262768776
6799.0,2889.4598580232737
6699.0,2923.6799144173506
6599.0,2958.7848588065112
6499.0,2994.826594753446
6399.0,3031.8619068748435
6299.0,3069.953279894491
6199.0,3109.1680984479035
6099.0,3149.579811689262
5999.0,3191.223560959227
5899.0,3233.601793567869
5799.0,3277.1808349411376
5699.0,3322.02931847197
5599.0,3368.223746997508
5499.0,3415.84866461819
5399.0,3464.99760940125
5299.0,3515.773051702654
5199.0,3567.884421105763
5099.0,3621.491017176474
4999.0,3676.851331755584
4899.0,3734.08973275512
4799.0,3793.345788922493
4699.0,3854.77405953865
4599.0,3918.546662768105
4499.0,3984.8434348776864
4399.0,4053.6759870434253
4299.0,4125.160442756864
4199.0,4199.499533020241
4099.0,4276.928205373662
3999.0,4357.719885086504
3899.0,4442.187039063679
3799.0,4530.57776286819
3699.0,4622.874895833925
3599.0,4719.356011853864
3499.0,4820.372311843684
3399.0,4926.336455437905
3299.0,5037.7226936541665
3199.0,5155.081257260157
3099.0,5278.714249323296
2999.0,5408.9655439528115
2899.0,5546.532883872116
2799.0,5692.245248410425
2699.0,5847.087241392789
2599.0,6012.222824462132
2499.0,6188.931755182315
2399.0,6377.930238350454
2299.0,6580.580517432818
2199.0,6798.757758123496
2099.0,7034.758966332479
1999.0,7291.155426078949
1899.0,7570.218250580438
1799.0,7875.554711529063
1699.0,8211.850445682707
1599.0,8584.632592194253
1499.0,8999.832112338469
1399.0,9466.264917329878
1299.0,9995.426499030027
1199.0,10601.067957050936
1099.0,11303.15368873085
999.0,12128.92207257051
989.0,12219.626169692769
979.0,12311.982507876695
969.0,12406.040585911356
959.0,12501.852041671003
949.0,12599.470644835223
939.0,12698.952334080612
929.0,12800.355103021495
919.0,12903.739179810682
909.0,13009.16718640524
899.0,13116.704347319512
889.0,13226.418722706117
879.0,13338.381254021964
869.0,13452.659117069363
859.0,13569.323493419719
849.0,13688.455693734562
839.0,13810.14084250105
829.0,13934.467909691466
819.0,14061.530018757776
809.0,14191.424799776129
799.0,14324.25482199431
789.0,14460.127853918275
779.0,14599.156855872348
769.0,14741.459934859573
759.0,14887.16053760137
749.0,15036.388023058573
739.0,15189.278456167654
729.0,15345.975057031928
719.0,15506.628246137197
709.0,15671.395537832346
699.0,15840.446672534268
689.0,16013.965684059993
679.0,16192.14412039634
669.0,16375.184446335023
659.0,16563.300013159656
649.0,16756.71582883712
639.0,16955.670141932016
629.0,17160.41586212101
619.0,17371.22135127537
609.0,17588.37094945518
599.0,17812.16538641578
589.0,18042.922557162932
579.0,18280.979440468232
569.0,18526.694932239356
559.0,18780.496304843124
549.0,19042.837308432932
539.0,19314.178360941074
529.0,19595.012325504984
519.0,19885.867365390575
509.0,20187.308855027826
499.0,20499.941874702254
489.0,20824.414792833846
479.0,21161.423834871497
469.0,21511.718190091036
459.0,21876.10425940091
449.0,22255.55170988798
439.0,22651.164959356895
429.0,23064.03975284435
419.0,23495.368078827636
409.0,23946.44752777007
399.0,24418.689352944297
389.0,24913.62892638633
379.0,25432.940693523717
369.0,25978.454547655267
359.0,26552.423617640437
349.0,27157.49693772496
339.0,27796.35103844704
329.0,28471.94203910498
319.0,29187.54531660767
309.0,29946.80756539158
299.0,30753.785723842822
289.0,31613.298267245573
279.0,32531.589711742155
269.0,33515.087144819896
259.0,34571.02384264363
249.0,35707.620270171356
239.0,36934.25529206795
229.0,38262.644986745836
219.0,39707.855722306165
209.0,41286.11501379563
199.0,43016.37978516739
189.0,44921.00467143089
179.0,47030.40167990478
169.0,49381.830995630866
159.0,52018.69351195986
149.0,54994.73365521458
