1-e,a_losscone,a_decay_dominate
3.162277660168379e-07,1.3534788495081829,0.8844741146807137
3.405342542559942e-07,1.25687089490436,0.8389056577353222
3.6670903311985407e-07,1.1671585758535539,0.79568490552581
3.948957066463194e-07,1.0838496990990074,0.7546909036109046
4.252489168346397e-07,1.0064872029170853,0.7158089287860031
4.5793519206578027e-07,0.9346466492543377,0.6789301685654963
4.93133860735659e-07,0.8679338957256632,0.6439514165738158
5.310380351137647e-07,0.8059829326354904,0.6107747836693062
5.718556708249504e-07,0.7484538751890321,0.5793074239054884
6.158107077670933e-07,0.6950310988067832,0.5494612748481051
6.631442987240946e-07,0.6454215073751992,0.5211528111209839
7.14116132414824e-07,0.5993529251374643,0.4943028105126725
7.690058582367129e-07,0.5565726038361334,0.4688361325564361
8.2811462052066e-07,0.516845835411871,0.4446815077673051
8.917667107146847e-07,0.4799546649781386,0.4217713387560087
9.603113465608089e-07,0.445696694522576,0.40004151060704907
1.0341245880263472e-06,0.413883972790157,0.37943121171411875
1.113611400501082e-06,0.3843419640502157,0.3598827635113524
1.1992078765797465e-06,0.35690859044438655,0.34134145901389684
1.2913836286192973e-06,0.3314333428089795,0.32375540976823075
1.390644365197383e-06,0.30777645498500034,0.30707540064290145
1.4975346656073704e-06,0.2858081370011314,0.2912547521167185
1.6126409676117813e-06,0.2654078629137091,0.27624918956361805
1.7365947848460027e-06,0.24646370967048706,0.26201671946252975
1.8700761715240842e-06,0.22887174298066218,0.24851751176610193
2.01381745345521e-06,0.2125354471111529,0.2357137884944666
2.16860724584052e-06,0.1973651954188229,0.2235697180345364
2.3352947798933166e-06,0.18327775857585776,0.21205131480755623
2.5147945620200306e-06,0.1701958479364008,0.20112634417989347
2.708091391123833e-06,0.15804769154864517,0.1907642322804868
2.9162457615576005e-06,0.1467666403552169,0.1809359803979645
3.1403996813687237e-06,0.13629080253861814,0.17161408384889731
3.3817829377567056e-06,0.12656270397730746,0.1627724550123082
3.641719844118e-06,0.11752897290048675,0.1543863503050572
3.921636505694913e-06,0.10914004708382606,0.14643230093865217
4.223068643690169e-06,0.10134990192806524,0.13888804724851625
4.5476700207733536e-06,0.09411579796151787,0.1317324764021508
4.897221514204216e-06,0.08739804634742399,0.12494556330320274
5.273640886351346e-06,0.08115979113825915,0.11850831455743537
5.678993306210667e-06,0.0753668070724289,0.11240271531725247
