time,a (pc),e,f_orb,delta_f_orb
0.0,0.01,0.9995,7.014332979733576e-10,6.66117772351576e-15
10000.0,0.009374458644796057,0.9994665228804893,7.727999445956819e-10,7.616037960612835e-15
20000.0,0.008768675966395386,0.9994296615345206,8.542507053962276e-10,8.704487015054783e-15
30000.0,0.008183138786062959,0.9993888467347277,9.475595287099611e-10,9.994736219714192e-15
40000.0,0.007617794034724767,0.999343510835149,1.0549759011210751e-09,1.1534558260113166e-14
50000.0,0.007072668373069004,0.9992928834463926,1.1792650727249598e-09,1.3374541504667473e-14
60000.0,0.006548215960260881,0.9992358722294559,1.323737547064733e-09,1.5590563080626525e-14
70000.0,0.006044839524701907,0.9991716363273733,1.4924823870985866e-09,1.824758480613979e-14
80000.0,0.005562933172334127,0.9990991203672305,1.6905600988520268e-09,2.1468818201991464e-14
90000.0,0.005102795839788643,0.9990170066257815,1.924305802403771e-09,2.542104733423307e-14
100000.0,0.004664224795575685,0.9989235169336597,2.2019992590502e-09,3.028780065485907e-14
110000.0,0.004246566641485059,0.9988169419516625,2.5347169134694372e-09,3.662998254236652e-14
120000.0,0.003847062388551309,0.9986940043921622,2.939629076787294e-09,4.466067597324617e-14
130000.0,0.003467350264997907,0.9985507017572234,3.435498833258707e-09,5.492837946969136e-14
140000.0,0.003107882211491836,0.9983817686070928,4.048457201852938e-09,6.823750754392585e-14
150000.0,0.0027688982702431843,0.9981814613595081,4.81421939945439e-09,8.573833602051866e-14
160000.0,0.0024505065114394276,0.9979421598879933,5.782326190624699e-09,1.0904859516444454e-13
170000.0,0.0021525786456156513,0.9976541430914864,7.023407017201542e-09,1.4081693157175412e-13
180000.0,0.0018750157385041895,0.9973026675927835,8.639308896540009e-09,1.848012821028316e-13
190000.0,0.0016177931572016302,0.9968679566252944,1.0779581176513444e-08,2.471151762043026e-13
200000.0,0.0013804996117245053,0.9963237981278072,1.3675145170057789e-08,3.376546866424958e-13
207761.4639984116,0.0012102512083909127,0.9958003333621178,1.665992688748551e-08,4.3650042095735413e-13
208761.4639984116,0.001189214223088984,0.9957250581723007,1.710394283787943e-08,4.5165116277692967e-13
209761.4639984116,0.0011683816585763209,0.995648059152198,1.7563427909599896e-08,4.674444657391298e-13
210761.4639984116,0.001147753514852923,0.9955693363018094,1.8039040410234967e-08,4.839121415559522e-13
211761.4639984116,0.0011273025769592522,0.9954887506042137,1.853214241129424e-08,5.029198004273005e-13
212761.4639984116,0.0011069801647050962,0.9954060533957966,1.904480893177148e-08,5.225975929816718e-13
213761.4639984116,0.0010868313788142958,0.9953210607515569,1.9576864070506364e-08,5.421011769679218e-13
214761.4639984116,0.0010668563041970332,0.9952337303128839,2.0129245043380888e-08,5.627704425908244e-13
215761.4639984116,0.0010470606711322603,0.9951439298196715,2.070277716778399e-08,5.844886472498742e-13
216761.4639984116,0.0010274487921498885,0.9950513276206553,2.1298356869024418e-08,6.070021682603494e-13
217761.4639984116,0.001008018079967087,0.9949560753024647,2.191714071481075e-08,6.307808317362967e-13
218761.4639984116,0.0009887681866111572,0.9948581932525148,2.2560288630898466e-08,6.557430603680086e-13
219761.4639984116,0.0009697027666426113,0.9947571502724596,2.322888834957617e-08,6.817772155439091e-13
220761.4639984116,0.0009508204544829718,0.9946531448521112,2.3924265024493306e-08,7.092302077602384e-13
