hc,f
1.1080125671730402e-19,1e-05
7.297385444012407e-20,2e-05
6.974569934399695e-20,3.0000000000000004e-05
1.128565598415036e-19,4e-05
8.93804278668582e-20,5e-05
1.0320185551484351e-19,6e-05
1.0414468402394295e-19,7.000000000000001e-05
1.315592648182398e-19,8e-05
1.7469589620191643e-19,9e-05
1.0823972233176034e-19,0.0001
1.3133548943001918e-19,0.00011
1.2296899188659942e-19,0.00012
1.2871426368783893e-19,0.00013000000000000002
1.2452597652372854e-19,0.00014000000000000001
1.2390088560007125e-19,0.00015000000000000001
1.4516056446213572e-19,0.00016
1.3600043131996173e-19,0.00017
1.8568188808751104e-19,0.00018
1.4048137954677642e-19,0.00019
1.0428708613908051e-19,0.0002
1.1234074302364752e-19,0.00021
1.2782881589646964e-19,0.00022
1.0079203376847015e-19,0.00023
1.0329959625171561e-19,0.00024
1.5894846181578756e-19,0.00025000000000000006
9.133650060567257e-20,0.00026000000000000003
1.4193630915942418e-19,0.00027000000000000006
1.9593475313403887e-19,0.00028000000000000003
9.626722854946452e-20,0.00029000000000000006
8.096639717831521e-20,0.00030000000000000003
8.425103782872033e-20,0.00031000000000000005
5.956770700718178e-20,0.00032
1.483065454431495e-19,0.00033000000000000005
8.508121108080304e-20,0.0003400000000000001
6.757896168037465e-20,0.00035000000000000005
1.0723287091205019e-19,0.0003600000000000001
1.3965656740937417e-19,0.00037000000000000005
1.1324454938533513e-19,0.0003800000000000001
7.120817939069394e-20,0.00039000000000000005
5.72015894339855e-20,0.0004000000000000001
1.1024549122268763e-19,0.00041000000000000005
3.943956648685962e-20,0.00042000000000000007
5.939976030651053e-20,0.00043000000000000004
4.569780364851255e-20,0.00044000000000000007
9.020012381390807e-20,0.00045000000000000004
1.1164799692390668e-19,0.00046000000000000007
9.257704066846746e-20,0.00047000000000000004
6.808027762908036e-20,0.00048000000000000007
9.890010923361893e-20,0.0004900000000000001
6.47765190334975e-20,0.0005000000000000001
7.125956768380236e-20,0.00051
5.800198135602912e-20,0.0005200000000000001
7.916792178603067e-20,0.0005300000000000001
5.3988639375501353e-20,0.0005400000000000001
9.987298308953993e-20,0.00055
6.381287715976178e-20,0.0005600000000000001
7.567697303339278e-20,0.0005700000000000001
7.755667586792616e-20,0.0005800000000000001
4.527646658216917e-20,0.00059
4.814069026228637e-20,0.0006000000000000001
4.5018914714349804e-20,0.0006100000000000001
9.465736716025455e-20,0.0006200000000000001
7.921553274295053e-20,0.00063
8.945636967600521e-20,0.00064
6.757419598986804e-20,0.0006500000000000001
9.191292931051904e-20,0.0006600000000000001
5.307774949248701e-20,0.0006700000000000001
5.059814933009631e-20,0.00068
5.018561251614747e-20,0.0006900000000000001
5.719618792164288e-20,0.0007000000000000001
7.25139226625098e-20,0.0007100000000000001
6.454778749794322e-20,0.00072
7.641051139000233e-20,0.0007300000000000001
9.771663705284522e-20,0.0007400000000000001
9.421624170530102e-20,0.0007500000000000001
9.871616044795153e-20,0.00076
9.420021176919629e-20,0.0007700000000000001
9.210416432966394e-20,0.0007800000000000001
6.721385656522196e-20,0.0007900000000000001
6.773867371280575e-20,0.0008
6.428584418074377e-20,0.0008100000000000001
6.810748545019115e-20,0.0008200000000000001
7.644688896242141e-20,0.0008300000000000001
5.995611766052052e-20,0.0008400000000000001
6.295571815393895e-20,0.0008500000000000001
5.198221871057981e-20,0.0008600000000000001
5.199289563839445e-20,0.0008700000000000001
5.1908945677875835e-20,0.0008800000000000001
5.436397613165837e-20,0.0008900000000000001
5.254103662154973e-20,0.0009000000000000001
1.3288505957450862e-19,0.0009100000000000001
1.4015422622477066e-19,0.0009200000000000001
1.3954111789693423e-19,0.00093
1.3953351795683674e-19,0.0009400000000000001
1.4123585115681495e-19,0.0009500000000000001
1.3739661677076845e-19,0.0009600000000000001
1.373574638320249e-19,0.0009700000000000002
1.373008077718436e-19,0.00098
